Covid-19 Nucleation Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.0 1 4 0 1 2 3 1 14 0 10 9 1 3 0 12 33 4 0 5 36 0 1 1 7 12 0 9 13 0 13 2 3 200
2.0 1 4 0 0 2 2 1 11 0 9 7 1 3 0 10 27 3 0 4 29 0 1 0 6 10 0 7 11 0 10 1 3 164
3.0 1 4 0 0 2 2 1 11 0 9 7 1 3 0 10 27 3 0 4 30 0 1 0 6 10 0 7 11 0 11 1 3 167
4.0 1 4 0 1 2 2 1 12 0 9 8 1 3 0 11 30 4 0 4 33 0 1 1 7 11 0 8 12 0 11 2 3 182
5.0 1 5 0 1 2 3 1 14 0 10 9 1 3 0 12 33 4 0 5 36 0 1 1 7 12 0 9 13 0 13 2 3 203
6.0 1 5 0 1 2 3 1 16 0 12 10 1 4 0 14 37 4 0 5 41 0 1 1 8 14 0 10 15 0 14 2 4 229
7.0 1 6 0 1 3 3 1 18 0 13 11 1 4 0 15 42 5 0 6 46 0 1 1 9 15 0 12 17 0 16 2 4 258
8.0 1 6 0 1 3 4 1 20 0 15 13 2 5 0 17 48 6 0 7 52 0 2 1 11 17 0 13 19 0 18 2 5 290
9.0 1 7 0 1 3 4 1 22 0 17 14 2 5 0 20 53 6 0 8 58 0 2 1 12 20 0 15 21 0 21 3 5 327
10.0 2 8 1 1 4 5 2 25 1 19 16 2 6 1 22 60 7 1 9 66 1 2 1 13 22 1 16 24 1 23 3 6 367
11.0 2 9 1 1 4 5 2 28 1 21 18 2 7 1 25 67 8 1 10 74 1 2 1 15 25 1 18 26 1 26 3 7 411
12.0 2 10 1 1 5 6 2 32 1 24 20 3 8 1 28 75 9 1 11 82 1 3 1 17 28 1 21 30 1 29 4 8 460
13.0 2 12 1 1 5 6 2 35 1 27 22 3 9 1 31 84 10 1 12 92 1 3 1 19 31 1 23 33 1 32 4 9 514
14.0 2 13 1 2 6 7 2 39 1 30 25 3 10 1 35 94 11 1 14 103 1 3 2 21 35 1 26 37 1 36 5 10 574
15.0 3 14 1 2 6 8 3 44 1 33 28 4 11 1 38 105 13 1 15 114 1 4 2 23 38 1 29 41 1 40 5 11 639
16.0 3 16 1 2 7 9 3 48 1 36 30 4 12 1 42 115 14 1 17 126 1 4 2 26 42 1 31 45 1 44 6 12 702
17.0 3 17 1 2 7 10 3 52 1 39 33 4 13 1 46 124 15 1 18 136 1 4 2 28 46 1 34 49 1 48 6 13 760
18.0 3 18 1 2 8 10 3 56 1 42 35 5 14 1 49 134 16 1 19 146 1 5 2 30 49 1 37 53 1 51 7 14 818
19.0 4 20 1 2 9 11 4 60 1 45 38 5 15 1 53 143 17 1 21 156 1 5 2 32 53 1 39 56 1 55 7 15 874
20.0 4 21 1 3 9 12 4 64 1 48 40 5 16 1 56 152 18 1 22 166 1 5 3 34 56 1 41 60 1 58 8 16 927
21.0 4 22 1 3 10 12 4 67 1 51 42 5 16 1 59 160 19 1 23 175 1 5 3 36 59 1 44 63 1 62 8 16 979
22.0 4 23 1 3 10 13 4 70 1 53 44 6 17 1 61 167 20 1 24 183 1 6 3 37 61 1 46 66 1 64 9 17 1021
